"database_id","cohort_id","comparator_cohort_id","start_day","end_day","subjects","sub_cs_before_ts","rec_cs_before_ts","sub_cs_on_ts","rec_cs_on_ts","sub_cs_after_ts","rec_cs_after_ts","sub_cs_before_te","rec_cs_before_te","sub_cs_on_te","rec_cs_on_te","sub_cs_after_te","rec_cs_after_te","sub_cs_window_t","rec_cs_window_t","sub_ce_window_t","rec_ce_window_t","sub_cs_window_ts","rec_cs_window_ts","sub_cs_window_te","rec_cs_window_te","sub_ce_window_ts","rec_ce_window_ts","sub_ce_window_te","rec_ce_window_te","sub_c_within_t","rec_c_within_t","c_days_before_ts","c_days_before_te","c_days_within_t_days","c_days_after_ts","c_days_after_te","t_days","c_days"
"SUBSET_AURUM",1,-1,-9999,0,2630,632,632,0,0,1998,1998,632,632,0,0,1998,1998,1998,1998,12,12,1998,1998,1998,1998,12,12,12,12,5,5,3219886,3219886,14260234,15659552,15659552,26300000,18876808
"SUBSET_AURUM",1,-1,-9999,9999,2630,632,632,0,0,1998,1998,632,632,0,0,1998,1998,1998,1998,2630,2630,1998,1998,1998,1998,2630,2630,2630,2630,1998,1998,3219886,3219886,15659552,15659552,15659552,52597370,18876808
"SUBSET_AURUM",1,-1,-365,-31,2620,2504,2504,-5,-5,115,115,2504,2504,-5,-5,115,115,116,116,0,0,116,116,116,116,0,0,0,0,0,0,16538580,16538580,860227,2331913,2331913,877700,18867873
"SUBSET_AURUM",1,-1,-365,0,2630,2504,2504,-5,-5,125,125,2504,2504,-5,-5,125,125,126,126,12,12,126,126,126,126,12,12,12,12,0,0,16538590,16538590,941530,2340848,2340848,962580,18876808
"SUBSET_AURUM",1,-1,-180,0,2630,2571,2571,0,0,59,59,2571,2571,0,0,59,59,59,59,12,12,59,59,59,59,12,12,12,12,0,0,17009269,17009269,470851,1870169,1870169,476030,18876808
"SUBSET_AURUM",1,-1,-30,-1,2629,2620,2620,0,0,9,9,2620,2620,0,0,9,9,9,9,0,0,9,9,9,9,0,0,0,0,0,0,17398816,17398816,78673,1479697,1479697,78870,18875884
"SUBSET_AURUM",1,-1,-30,0,2630,2620,2620,0,0,10,10,2620,2620,0,0,10,10,10,10,12,12,10,10,10,10,12,12,12,12,0,0,17398817,17398817,81303,1480621,1480621,81530,18876808
"SUBSET_AURUM",1,-1,0,0,2630,2629,2629,-5,-5,0,0,2629,2629,-5,-5,0,0,-5,-5,12,12,-5,-5,-5,-5,12,12,12,12,0,0,17477490,17477490,2630,1401948,1401948,2630,18876808
"SUBSET_AURUM",1,-1,1,30,2618,2618,2618,0,0,0,0,2618,2618,0,0,0,0,0,0,227,227,0,0,0,0,227,227,227,227,0,0,17325294,17325294,75310,1399318,1399318,78540,18721994
"SUBSET_AURUM",1,-1,31,365,2391,2391,2391,0,0,0,0,2391,2391,0,0,0,0,0,0,974,974,0,0,0,0,974,974,974,974,0,0,15732939,15732939,595360,1324008,1324008,800985,17054556
"SUBSET_AURUM",1,2,-9999,0,50,0,0,0,0,50,50,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,500000,50
"SUBSET_AURUM",1,2,-9999,9999,58,0,0,0,0,58,58,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1159942,58
"SUBSET_AURUM",1,2,-365,-31,6,0,0,0,0,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2010,6
"SUBSET_AURUM",1,2,-365,0,11,0,0,0,0,11,11,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4026,11
"SUBSET_AURUM",1,2,-180,0,6,0,0,0,0,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1086,6
"SUBSET_AURUM",1,2,-30,0,5,0,0,0,0,5,5,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155,5
"SUBSET_AURUM",1,2,0,0,5,0,0,5,5,0,0,0,0,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"SUBSET_AURUM",1,2,1,30,-5,0,0,0,0,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,-5
"SUBSET_AURUM",1,2,31,365,-5,0,0,0,0,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,670,-5
"SUBSET_AURUM",2,-1,-9999,0,2187,354,354,0,0,1833,1833,354,354,0,0,1833,1833,1833,1833,-5,-5,1833,1833,1833,1833,-5,-5,-5,-5,-5,-5,1509436,1509436,10340843,16213424,16213424,21870000,17720673
"SUBSET_AURUM",2,-1,-9999,9999,2187,354,354,0,0,1833,1833,354,354,0,0,1833,1833,1833,1833,2149,2149,1833,1833,1833,1833,2149,2149,2149,2149,1798,1798,1509436,1509436,16139250,16213424,16213424,43737813,17720673
"SUBSET_AURUM",2,-1,-365,-31,2142,1973,1973,-5,-5,167,167,1973,1973,-5,-5,167,167,169,169,0,0,169,169,169,169,0,0,0,0,0,0,11097234,11097234,685990,6501392,6501392,717570,17596484
"SUBSET_AURUM",2,-1,-365,0,2187,1973,1973,-5,-5,212,212,1973,1973,-5,-5,212,212,214,214,-5,-5,214,214,214,214,-5,-5,-5,-5,0,0,11097279,11097279,753000,6625581,6625581,800442,17720673
"SUBSET_AURUM",2,-1,-180,0,2187,2046,2046,0,0,141,141,2046,2046,0,0,141,141,141,141,-5,-5,141,141,141,141,-5,-5,-5,-5,0,0,11469375,11469375,380904,6253485,6253485,395847,17720673
"SUBSET_AURUM",2,-1,-30,-1,2177,2142,2142,-5,-5,34,34,2142,2142,-5,-5,34,34,35,35,0,0,35,35,35,35,0,0,0,0,0,0,11783259,11783259,64823,5909783,5909783,65310,17690865
"SUBSET_AURUM",2,-1,-30,0,2187,2142,2142,-5,-5,44,44,2142,2142,-5,-5,44,44,45,45,-5,-5,45,45,45,45,-5,-5,-5,-5,0,0,11783269,11783269,67010,5939591,5939591,67797,17720673
"SUBSET_AURUM",2,-1,0,0,2187,2177,2177,10,10,0,0,2177,2177,10,10,0,0,10,10,-5,-5,10,10,10,10,-5,-5,-5,-5,0,0,11848092,11848092,2187,5874768,5874768,2187,17720673
"SUBSET_AURUM",2,-1,1,30,2186,2186,2186,0,0,0,0,2186,2186,0,0,0,0,0,0,37,37,0,0,0,0,37,37,37,37,0,0,11849663,11849663,65149,5872581,5872581,65580,17720058
"SUBSET_AURUM",2,-1,31,365,2149,2149,2149,0,0,0,0,2149,2149,0,0,0,0,0,0,259,259,0,0,0,0,259,259,259,259,0,0,11658704,11658704,670780,5807432,5807432,719915,17463987
"SUBSET_AURUM",2,1,-9999,0,13,0,0,0,0,13,13,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,130000,13
"SUBSET_AURUM",2,1,-9999,9999,58,0,0,0,0,58,58,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1159942,58
"SUBSET_AURUM",2,1,-365,-31,-5,0,0,0,0,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,670,-5
"SUBSET_AURUM",2,1,-365,0,8,0,0,0,0,8,8,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2928,8
"SUBSET_AURUM",2,1,-180,0,7,0,0,0,0,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1267,7
"SUBSET_AURUM",2,1,-30,-1,-5,0,0,0,0,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,-5
"SUBSET_AURUM",2,1,-30,0,6,0,0,0,0,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,186,6
"SUBSET_AURUM",2,1,0,0,5,0,0,5,5,0,0,0,0,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"SUBSET_AURUM",2,1,31,365,6,0,0,0,0,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2010,6
